scenario,seed,allocator,task_completion_rate,mean_completion_time,system_throughput,mean_amv_availability,fault_impact_score,deadlock_frequency,mean_packet_loss_rate,energy_efficiency,convergence_rate,connectivity_maintenance,physics_impact_on_faults,thermocline_crossing_penalty,congestion_drop_rate,stalled_amv_timesteps,mean_task_delay,max_task_delay,never_completed_tasks
none,40,cbba,0.9333333333333333,200.85714285714286,0.028,0.4190712289404635,0.5376,0.0,0.5826693227091634,20.418650963646904,1.937007874015748,0.84,0.6625779740020888,0.3293492695883134,0.1387782204515272,246,79.8,181.0,1
none,50,cbba,1.0,116.2,0.03,0.600041383665025,0.40337552742616034,0.0,0.543656207366985,9.871746882233484,1.875,0.5822784810126582,0.5417394803327892,0.23328785811732605,0.12141882673942701,7,48.333333333333336,129.0,0
none,60,cbba,0.8666666666666667,116.0,0.026,0.44477631880754914,0.4216,0.0,0.5910942956926659,18.351392242184183,1.6833333333333333,0.962,-0.3196965789845157,0.3853317811408615,0.1362048894062864,494,97.53333333333333,424.0,2
none,70,cbba,1.0,134.06666666666666,0.03,0.6314019562263792,0.37985611510791367,0.0,0.5269736842105263,10.31253192746444,1.7162162162162162,0.8237410071942446,0.2435467536476883,0.04342105263157895,0.12368421052631579,1,52.0,207.0,0
none,80,cbba,0.9333333333333333,140.07142857142858,0.028,0.42451767198927653,0.5092,0.0,0.5044523597506678,16.428949676763533,1.4666666666666666,0.702,-0.33971255706865133,0.28495102404274264,0.07658058771148708,236,68.8,333.0,1
none,90,cbba,0.9333333333333333,130.71428571428572,0.028,0.500701898969835,0.4572,0.0,0.5603140613847252,15.14468662250364,1.6825396825396826,0.88,-0.6485490839587337,0.33547466095645967,0.10206995003568879,181,63.46666666666667,331.0,1
none,1000,cbba,0.9333333333333333,183.28571428571428,0.028,0.39785757272779865,0.562,0.0,0.5743380855397149,19.79957188770323,1.7073170731707317,0.48,0.09459149370519039,0.23217922606924643,0.13136456211812628,175,79.73333333333333,291.0,1
amv_loss,42,cbba,0.8666666666666667,130.69230769230768,0.026,0.3224525253175417,0.5768,0.0,0.5531482735274205,25.389601151165543,1.75,0.982,-0.15787127451644506,0.35003385240352064,0.1035883547731889,220,72.86666666666666,230.0,2
amv_loss,100,cbba,0.9333333333333333,122.42857142857143,0.028,0.3451725066142731,0.5324,0.0,0.5568039950062422,23.333346478901486,1.2416666666666667,0.582,0.10641785428920125,0.5767790262172284,0.01373283395755306,201,68.26666666666667,293.0,1
amv_loss,2023,cbba,1.0,193.53333333333333,0.03,0.3743731968302399,0.5403050108932462,0.0,0.6409505208333334,21.470924426362114,1.9649122807017543,0.9803921568627451,0.6814144619546039,0.3391927083333333,0.16927083333333334,5,54.93333333333333,174.0,0
