scenario,seed,allocator,task_completion_rate,mean_completion_time,system_throughput,mean_amv_availability,fault_impact_score,deadlock_frequency,mean_packet_loss_rate,energy_efficiency,convergence_rate,connectivity_maintenance,physics_impact_on_faults,thermocline_crossing_penalty,congestion_drop_rate,stalled_amv_timesteps,mean_task_delay,max_task_delay,never_completed_tasks
mass_fault,60,auction,0.9333333333333333,113.57142857142857,0.028,0.28783893775039876,0.6976,0.4,0.30936960276338515,20.993000983569214,1.6991150442477876,0.902,-0.19035217323821121,0.31390328151986185,0.08419689119170984,0,37.13333333333333,149.0,1
mass_fault,70,auction,0.7333333333333333,96.9090909090909,0.022,0.3434708673333509,0.7452,0.6,0.26420181012901983,23.698146617227064,1.3177570093457944,0.982,0.16886767722274723,0.3624109378008858,0.06335451569420374,0,38.53333333333333,123.0,4
mass_fault,80,auction,0.6666666666666666,150.9,0.02,0.29918765868940894,0.6456,0.8,0.3498176845943482,35.77398866587459,1.5819672131147542,0.822,-0.109864560367717,0.19690063810391978,0.09252506836827712,0,45.733333333333334,180.0,5
mass_fault,90,auction,0.8,117.66666666666667,0.024,0.3240315338867894,0.682,1.0,0.31059356966199503,28.762070731188384,1.5912408759124088,1.0,0.5156143981664367,0.2722588623248145,0.06471558120362737,0,71.2,288.0,3
mass_fault,1000,auction,0.6,116.55555555555556,0.018,0.28078591491455,0.6372,2.0,0.2749532127261385,46.867030653087845,1.9137931034482758,1.0,-0.7623065724764607,0.15829694323144106,0.08359326263256395,0,44.0,187.0,6
none,42,cbba,1.0,157.0,0.03,0.48529125428736947,0.3872146118721461,0.0,0.5351089588377724,16.4023203254595,1.7339449541284404,0.819634703196347,0.685625447887514,0.3058918482647296,0.11057304277643261,90,67.33333333333333,271.0,0
none,100,cbba,0.8,97.0,0.024,0.444090122370691,0.4688,0.0,0.5507448789571695,19.75545857554229,1.4333333333333333,0.682,0.2725567417523829,0.37243947858473,0.07635009310986965,647,105.73333333333333,391.0,3
none,2023,cbba,0.8666666666666667,155.0,0.026,0.4737566665711092,0.5204,0.0,0.6362375138734739,17.833087620115315,2.0483870967741935,0.982,-0.16167213572050662,0.4034406215316315,0.15871254162042175,305,84.4,301.0,2
none,888,cbba,0.9333333333333333,131.92857142857142,0.028,0.48088380294271027,0.3484,0.0,0.5199594046008119,17.14987362823643,1.5327868852459017,0.92,-0.8445756228565352,0.40730717185385656,0.08254397834912043,286,92.6,331.0,1
none,9999,cbba,0.8666666666666667,140.69230769230768,0.026,0.399628626739688,0.5324,0.0,0.5815191098209966,19.091963996361127,1.984375,1.0,-0.2507981621033563,0.39090469279148526,0.14465408805031446,436,98.0,361.0,2
none,10,cbba,0.9333333333333333,197.0,0.028,0.4144916978473048,0.4604,0.0,0.5825301204819278,17.011231954948872,1.7377049180327868,0.98,0.13200765073222945,0.24156626506024095,0.1493975903614458,316,92.53333333333333,295.0,1
none,20,cbba,0.9333333333333333,158.85714285714286,0.028,0.45593827919606283,0.422,0.0,0.5675122749590835,18.248138221485878,1.5083333333333333,0.76,-0.7752638108617177,0.32978723404255317,0.09656301145662848,297,77.6,271.0,1
none,30,cbba,1.0,148.8,0.03,0.6115163293072361,0.2857142857142857,0.0,0.5405742821473158,12.212966662144021,1.4197530864197532,0.8814589665653495,-0.5727199734488919,0.2671660424469413,0.08364544319600499,0,61.333333333333336,159.0,0
none,40,cbba,0.9333333333333333,200.85714285714286,0.028,0.4190712289404635,0.5376,0.0,0.5826693227091634,20.418650963646904,1.937007874015748,0.84,0.6625779740020888,0.3293492695883134,0.1387782204515272,246,79.8,181.0,1
none,50,cbba,1.0,116.2,0.03,0.600041383665025,0.40337552742616034,0.0,0.543656207366985,9.871746882233484,1.875,0.5822784810126582,0.5417394803327892,0.23328785811732605,0.12141882673942701,7,48.333333333333336,129.0,0
none,60,cbba,0.8666666666666667,116.0,0.026,0.44477631880754914,0.4216,0.0,0.5910942956926659,18.351392242184183,1.6833333333333333,0.962,-0.3196965789845157,0.3853317811408615,0.1362048894062864,494,97.53333333333333,424.0,2
none,70,cbba,1.0,134.06666666666666,0.03,0.6314019562263792,0.37985611510791367,0.0,0.5269736842105263,10.31253192746444,1.7162162162162162,0.8237410071942446,0.2435467536476883,0.04342105263157895,0.12368421052631579,1,52.0,207.0,0
none,80,cbba,0.9333333333333333,140.07142857142858,0.028,0.42451767198927653,0.5092,0.0,0.5044523597506678,16.428949676763533,1.4666666666666666,0.702,-0.33971255706865133,0.28495102404274264,0.07658058771148708,236,68.8,333.0,1
none,90,cbba,0.9333333333333333,130.71428571428572,0.028,0.500701898969835,0.4572,0.0,0.5603140613847252,15.14468662250364,1.6825396825396826,0.88,-0.6485490839587337,0.33547466095645967,0.10206995003568879,181,63.46666666666667,331.0,1
none,1000,cbba,0.9333333333333333,183.28571428571428,0.028,0.39785757272779865,0.562,0.0,0.5743380855397149,19.79957188770323,1.7073170731707317,0.48,0.09459149370519039,0.23217922606924643,0.13136456211812628,175,79.73333333333333,291.0,1
amv_loss,42,cbba,0.8666666666666667,130.69230769230768,0.026,0.3224525253175417,0.5768,0.0,0.5531482735274205,25.389601151165543,1.75,0.982,-0.15787127451644506,0.35003385240352064,0.1035883547731889,220,72.86666666666666,230.0,2
amv_loss,100,cbba,0.9333333333333333,122.42857142857143,0.028,0.3451725066142731,0.5324,0.0,0.5568039950062422,23.333346478901486,1.2416666666666667,0.582,0.10641785428920125,0.5767790262172284,0.01373283395755306,201,68.26666666666667,293.0,1
amv_loss,2023,cbba,1.0,193.53333333333333,0.03,0.3743731968302399,0.5403050108932462,0.0,0.6409505208333334,21.470924426362114,1.9649122807017543,0.9803921568627451,0.6814144619546039,0.3391927083333333,0.16927083333333334,5,54.93333333333333,174.0,0
amv_loss,888,cbba,0.9333333333333333,139.0,0.028,0.3295021770821916,0.4684,0.0,0.5596610169491525,25.299806452227706,1.5609756097560976,0.92,-0.21511565883284325,0.4386440677966102,0.08949152542372882,90,73.2,161.0,1
amv_loss,9999,cbba,0.8666666666666667,171.69230769230768,0.026,0.3303675071248548,0.5128,0.0,0.5517955801104972,23.734861738966174,1.5819672131147542,1.0,0.34382875953284836,0.2866022099447514,0.12016574585635359,476,86.93333333333334,336.0,2
amv_loss,10,cbba,0.9333333333333333,175.78571428571428,0.028,0.3051279640024514,0.4932,0.0,0.5511049723756906,25.2211654539143,1.752,0.96,0.8918291079323588,0.2883977900552486,0.14972375690607734,16,66.6,170.0,1
amv_loss,20,cbba,0.8666666666666667,178.30769230769232,0.026,0.34905918965602184,0.4892,0.0,0.5891003460207612,26.318703764450404,1.5333333333333334,0.74,0.054643879903048614,0.3209342560553633,0.11937716262975778,297,93.06666666666666,270.0,2
amv_loss,30,cbba,1.0,158.53333333333333,0.03,0.48081533874152144,0.36363636363636365,0.0,0.544955044955045,21.280870736001354,1.4941176470588236,0.8856304985337243,-0.614342091320938,0.21978021978021978,0.08491508491508491,0,60.93333333333333,177.0,0
amv_loss,40,cbba,0.8666666666666667,182.15384615384616,0.026,0.32123275876472407,0.6488,0.0,0.6050257731958762,26.606180617107082,1.935483870967742,0.94,0.8529736651764435,0.3228092783505155,0.15141752577319587,136,65.93333333333334,280.0,2
amv_loss,50,cbba,1.0,141.26666666666668,0.03,0.40964554594244434,0.5043243243243243,0.0,0.5390161153519932,21.632731598023113,1.7872340425531914,0.7324324324324324,-0.758286756471568,0.3299406276505513,0.10941475826972011,27,59.4,128.0,0
amv_loss,60,cbba,0.8666666666666667,127.92307692307692,0.026,0.3217948170223137,0.4976,0.0,0.5900523560209424,23.914755336109142,1.7886178861788617,0.962,-0.945594442522846,0.34450261780104713,0.13298429319371727,354,83.86666666666666,344.0,2
amv_loss,70,cbba,0.8666666666666667,126.76923076923077,0.026,0.4039892939397148,0.3976,0.0,0.5261461318051576,27.933672568364628,1.6083333333333334,0.902,0.5053355014734039,0.21991404011461319,0.09025787965616046,292,79.13333333333334,240.0,2
