scenario,seed,config_label,allocator,timeout,task_completion_rate,never_completed_tasks,mean_task_delay,max_task_delay,congestion_drop_rate,mean_completion_time,deadlock_timeout_fires
none,80,Proposed (K=15),auction,15,0.8,3,80.46666666666667,176.0,0.008035062089116142,122.6923076923077,0
none,90,Proposed (K=15),auction,15,1.0,0,81.33333333333333,199.0,0.0021164021164021165,170.2,0
none,1000,Proposed (K=15),auction,15,1.0,0,74.0,171.0,0.0071301247771836,151.26666666666668,0
amv_loss,42,Proposed (K=15),auction,15,0.8666666666666667,2,55.8,165.0,0.003115264797507788,128.76923076923077,0
amv_loss,100,Proposed (K=15),auction,15,1.0,0,60.733333333333334,172.0,0.0020768431983385254,132.13333333333333,0
amv_loss,2023,Proposed (K=15),auction,15,0.8666666666666667,2,63.6,147.0,0.0,155.23076923076923,0
amv_loss,888,Proposed (K=15),auction,15,0.9333333333333333,1,72.2,238.0,0.0023287405394915583,138.14285714285714,0
amv_loss,9999,Proposed (K=15),auction,15,0.6666666666666666,5,53.93333333333333,209.0,0.003885003885003885,139.9,0
amv_loss,10,Proposed (K=15),auction,15,0.8,3,76.2,183.0,0.004765687053216839,237.33333333333334,0
amv_loss,20,Proposed (K=15),auction,15,0.8666666666666667,2,68.8,279.0,0.00234375,138.84615384615384,0
amv_loss,30,Proposed (K=15),auction,15,1.0,0,67.46666666666667,199.0,0.0012706480304955528,131.86666666666667,0
amv_loss,40,Proposed (K=15),auction,15,0.8666666666666667,2,58.13333333333333,169.0,0.004542013626040878,140.6153846153846,0
amv_loss,50,Proposed (K=15),auction,15,1.0,0,64.66666666666667,146.0,0.004748338081671415,118.33333333333333,0
amv_loss,60,Proposed (K=15),auction,15,0.9333333333333333,1,66.86666666666666,327.0,0.006971340046475601,62.57142857142857,0
amv_loss,70,Proposed (K=15),auction,15,0.8666666666666667,2,78.93333333333334,281.0,0.014095536413469069,107.92307692307692,0
amv_loss,80,Proposed (K=15),auction,15,0.8666666666666667,2,75.46666666666667,220.0,0.00315955766192733,149.6153846153846,0
amv_loss,90,Proposed (K=15),auction,15,1.0,0,78.2,200.0,0.001755926251097454,189.2,0
